1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
2	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
1	-3	Negative
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-4	Negative
1	-2	Negative
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
3	-4	Negative
1	-2	Negative
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
2	-1	Positive
1	-2	Negative
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
3	-2	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-3	Negative
1	-1	Neutral
2	-1	Positive
4	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
3	-1	Positive
2	-1	Positive
3	-1	Positive
2	-3	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
1	-1	Neutral
1	-2	Negative
1	-1	Neutral
2	-1	Positive
3	-1	Positive
1	-3	Negative
2	-1	Positive
1	-2	Negative
1	-3	Negative
2	-1	Positive
2	-1	Positive
1	-1	Neutral
2	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-2	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
2	-3	Negative
2	-3	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
4	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
2	-1	Positive
1	-2	Negative
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
2	-1	Positive
3	-1	Positive
1	-1	Neutral
2	-1	Positive
2	-3	Negative
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
2	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-2	Negative
2	-1	Positive
1	-1	Neutral
1	-2	Negative
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
2	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
2	-1	Positive
2	-1	Positive
1	-1	Neutral
2	-2	Neutral
4	-3	Positive
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
3	-1	Positive
1	-1	Neutral
3	-1	Positive
1	-1	Neutral
1	-2	Negative
2	-1	Positive
2	-2	Neutral
4	-1	Positive
3	-1	Positive
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
4	-1	Positive
4	-1	Positive
1	-2	Negative
1	-2	Negative
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
2	-1	Positive
2	-1	Positive
3	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-2	Negative
2	-1	Positive
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
4	-3	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
3	-1	Positive
3	-1	Positive
3	-1	Positive
3	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-2	Negative
2	-1	Positive
1	-4	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
3	-1	Positive
2	-1	Positive
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-2	Negative
1	-1	Neutral
2	-1	Positive
2	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-3	Negative
1	-1	Neutral
2	-1	Positive
3	-1	Positive
2	-1	Positive
2	-1	Positive
2	-1	Positive
2	-1	Positive
3	-2	Positive
2	-2	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-2	Negative
1	-3	Negative
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
2	-1	Positive
2	-1	Positive
1	-1	Neutral
2	-1	Positive
1	-4	Negative
1	-2	Negative
1	-1	Neutral
1	-1	Neutral
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
4	-1	Positive
1	-1	Neutral
2	-2	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
3	-1	Positive
2	-1	Positive
1	-1	Neutral
1	-1	Neutral
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
2	-1	Positive
2	-1	Positive
3	-1	Positive
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
1	-1	Neutral
